,GPP,LAI
132,3.317274597563433,2.8583993764788738
133,3.265309082842125,2.418145988814865
134,2.5207721725125753,2.452426050370634
135,2.8523362658057603,1.9231438448238194
136,3.249948616599433,2.9022278450281873
137,2.9097269087663493,2.546618697319695
138,3.297441226569852,3.4762590755303533
139,2.6262453822005694,1.587776551204331
140,4.220663507316832,3.3495578772865278
141,3.907503454576515,3.109828880176889
142,3.8259132590017892,3.6129847723013806
143,2.813660713094083,2.8736563274325486
144,3.7099028669979615,3.604097424888509
145,2.6801115612205355,1.6783698147175186
146,2.5306460808650786,1.8294747077844913
147,2.8625971015103855,2.5298355352402675
148,2.5254469871980696,2.3089728940590275
149,3.079537460380447,2.6658477312931765
150,2.0716973799190463,1.6913805487802231
151,3.6760727831468665,2.332231681480413
152,4.353324545486764,3.445944871353667
153,2.1606649643579248,1.7457117128121682
154,3.0279755315184493,2.2054328574722
155,3.2297008173419974,2.2436281870366908
156,3.024305463468611,2.6256546860929384
157,2.605921637885989,1.8517642083400252
158,3.0962246303180074,2.331206042359462
159,3.0469547463060542,2.736913777305311
160,3.4609693656160725,3.4151195015235176
161,1.8765775012598929,1.0486523298127084
162,3.6750510344638045,2.63626741967932
163,3.5016490520809205,2.8833822609260076
164,2.1495731664690623,1.6262363352460234
165,3.5271353741267095,2.6349423253086606
166,3.761802656713124,2.974586674113306
167,3.019622845128925,2.2311881460038356
168,3.925967697872178,3.358834843570851
169,2.710511395096365,2.0657913500036327
170,3.0737607917010226,3.742868097885704
171,1.8392160010303416,0.9503196877296464
172,1.6277655596116771,0.9861569386755165
173,3.0675744310873143,1.8573224188665876
174,2.676445233599508,2.175236557206384
175,2.8989370400456598,2.7062104406072436
176,1.9658887595954246,1.2159922087150559
177,3.733172750874256,3.4956786210755255
178,2.79107282900301,2.028326016192845
179,2.0870489662961154,1.472171013274401
180,3.2347280451051703,1.8588541720081357
181,2.983715661690617,2.545835261933232
182,2.0808879246757077,1.2221909205490573
183,2.25739639848717,1.4921177502831857
184,3.2789775245456667,2.090336920942131
185,4.219646797499438,3.128124644627634
186,2.856755787446436,1.8221750711204525
187,3.323921581893832,3.192460246519678
188,3.608247484815747,2.687761520474643
189,2.6912794140563694,3.0116280883508457
190,3.2566573832670036,2.638676795823927
191,3.6952964761656597,2.9074272854136716
192,2.8770563758876087,1.9854945368724652
193,3.451887289758556,3.2261614005264114
194,3.1155204862894035,2.155410620823363
195,2.558538791397159,1.7269028669330329
196,3.55912702951627,4.299704994465446
197,4.146163691067017,3.4313678526365665
198,2.804545944666235,1.8916325533031577
199,2.427152381421611,1.4757782195710472
200,3.1854011844075627,2.2052385294662153
201,1.6106730609322235,1.0091962621071762
202,2.4529043110524666,1.4005128907868416
203,3.062821454568757,2.8912411532997897
204,3.2712094139935832,2.100489672673261
205,2.54116039623403,1.7854262010260242
206,3.39802162198319,2.4285689507150034
207,3.6106176072553655,2.6893276328483364
208,3.508256210068337,3.601377801775232
209,3.1804871808317734,2.46718719637525
210,3.2600574573114995,1.907375050080392
211,3.313272655090889,2.7737350816453623
212,1.8889050030427221,1.0971698019939422
213,3.1891364132823097,2.7340144181067365
214,4.134223801189046,3.9638357923471546
215,2.588478202978267,1.9047162834850886
216,2.801537377868081,2.105717699838163
217,3.223243221333647,2.952235274971067
218,3.280743754067398,2.4624084176347156
219,1.789572177916032,0.9005976385441383
220,2.90178941444668,2.0005228107882727
221,2.117212518884951,1.2761519391209792
222,2.545329792706677,1.753877866382182
223,2.7157865115739925,1.7396580520972804
224,0.9756831611430024,0.5295789985238275
225,2.1435207751103205,1.4462051208358822
226,3.6220910278838687,2.6067709445054543
227,3.2393057791460125,2.510665977493731
228,3.588726518326325,2.8028352944986086
229,2.6870705118749654,1.8189269297842938
230,3.271309831891802,3.253553513677863
231,3.321197807345807,2.460379673929548
232,3.5469612722078594,3.305697301290752
233,2.377535720294885,1.1799308279786145
234,2.8929563447448685,2.523058912226466
235,2.6939010495605498,1.805528954838885
236,3.749765920730555,3.8697770094847237
237,1.8465809825352248,1.286257777168504
238,3.6293376479430797,2.5234314201744685
239,3.747412267873291,3.622336710944883
240,3.032377907525398,2.2533576807031395
241,3.100208323516819,2.154516606743224
242,2.6417529851479387,1.874534380531215
243,2.1699892126268825,1.1417207691914688
244,2.56229558768461,1.758312938358805
245,2.781011811400661,2.2113729703249323
246,3.1546150778807958,2.322576398927921
247,2.807391430699941,2.245551117019874
248,3.8257853843496554,3.744022041416086
249,2.6869765001127774,2.690237441825386
250,4.086178511846229,3.021002079785709
251,2.4942408508742764,2.438533401668494
252,3.639468049444835,2.9040619861879167
253,3.392896114632428,2.2550965690448366
254,3.428721960459362,3.2384129723412185
255,2.8527908653659177,1.8444544766296562
256,3.8441125028916954,3.056629401637134
257,2.5206426745672768,1.4098263718243114
258,3.334703179933878,3.092879301047338
259,3.1656601443702654,2.2738256900326346
260,3.141500055171141,2.4068633393990604
261,3.7873253563518703,3.3604078772714074
262,3.223868654860063,2.28060599671184
263,1.2831055293820757,0.7611280583608359
264,2.751097765978793,2.0092359275749954
265,3.2000840176641674,2.9957004075152063
266,2.702064918156409,1.7338660173001073
267,2.713231060184005,1.7025816755489085
268,3.160508267278337,2.8580708312003726
269,2.76129809921554,1.685229893381311
270,2.0611235854863432,1.2225864104095632
271,2.3256756217767824,1.6392950853780017
272,3.4610560616722528,2.6797569049045555
273,3.3532019280794025,2.3832953121570513
274,3.569728684709124,2.754733066304436
275,3.2147257031116165,2.621687542410906
276,2.21930322805168,1.6705862207144704
277,2.1421549713626398,1.1699702890551658
278,2.829852703424358,2.540590245186577
279,3.8280337413563736,2.707957665340118
280,2.3813932668182276,2.198096461281097
281,2.4304249330686534,1.7197713432736095
282,2.1792189697628865,1.5218324590388788
283,3.272187009779106,2.6192849403966787
284,3.1788797927542003,2.880303692931533
285,4.078624971471284,3.274889316830028
286,2.5535955036818843,1.8207114145866397
287,3.3625386569330615,2.8094609542633457
288,2.8308991096005545,1.6674936297568848
289,3.487121499409755,2.611047232505082
290,3.9233819522892053,3.1497088754416285
291,2.948519555936401,2.4937747167118998
292,1.6996086116294107,1.0157195655203903
293,3.6002137761598774,3.4458801122815625
294,3.2238279321574472,2.323333173900702
295,3.151393410912591,2.153660552824769
296,3.9065898313501846,2.571813354586308
297,2.6741093323324927,2.4529188232642793
298,2.0190432625692893,1.3740332937478794
299,3.5553594821821015,3.052047925576566
300,3.1161648394375314,2.792655207492456
301,2.1487220563960654,1.5643688261998938
302,1.5339886333595065,0.6560317115832879
303,4.268485941432794,4.086821188838127
304,4.30243020808564,5.381750937570084
305,3.6415028506493186,3.0836062656098044
306,2.274882176822354,1.437042316478038
307,2.95110738143278,2.449549464645479
308,2.689685238434716,2.345805190529433
309,2.932298984972841,2.3530562940802735
310,1.7293930461200842,1.1689071917835714
311,4.522846054106094,4.69027779598004
312,3.0253973569535653,2.1705186274576707
313,3.604983881184544,2.623192556849255
314,2.3575981385191,1.3938614005448453
315,2.3000775152152935,1.756923852655276
316,2.9363371076710156,2.2009478948977264
317,2.8078715822469094,1.7423559920006404
318,3.003680564691573,2.1693927681179503
319,2.9636882025407605,3.0470522762193952
320,2.8382248400289147,2.3027597755525075
321,2.048489556297164,1.129472188935234
322,3.2427201143576116,2.1729764982053643
323,2.0858365138611923,1.148796444613112
324,2.5578082124645434,1.370156564308849
325,2.564715013017147,1.9900293070085737
326,3.7255275567835078,3.6056009632309136
327,3.4249125977205854,2.093597497605518
328,2.0884779870950645,1.369507544745106
329,3.6638187713525907,3.6062758662996646
330,4.122761620632781,2.9127545323400303
331,3.3460657579726574,2.6917748000736847
332,2.4466925102224155,1.63005728148093
333,4.089939807598111,3.539986324390281
334,2.851307930163564,2.3822182139196815
335,2.817601780805653,1.5229300930085268
336,2.3891869303127717,1.5158103890368406
337,2.8604442843219706,1.955668365297069
338,2.993132246101009,2.6172502528742676
339,1.4736924619169662,0.8233819307524362
340,3.245796966342779,2.674624857162535
341,2.501345888808624,1.8026538618498682
342,2.6467353160255636,2.1053226854361613
343,3.697373953125421,2.504052823263075
344,2.5616015876804816,1.5091175651725757
345,3.1493651069695625,1.6054898585987627
346,3.172609179954651,2.2353495141007405
347,2.4575861139832726,1.5151765387019553
348,2.325053988335256,2.3614092021963367
349,3.249804139556865,2.6504775945090104
350,4.001402380191346,2.961053761487685
351,3.531918253981453,2.6809731416285203
352,3.467785262151351,3.200537213250142
353,3.263328557962175,2.4248033907783744
354,3.459104225391638,2.7817870310844537
355,2.5168569742824403,1.5713701654767591
356,3.535793975208661,2.785080839014721
357,2.641988726602149,2.1844537888995963
358,2.811727807211439,2.12240296125795
359,3.7850273464538606,2.9432495948800437
360,2.6975256719308316,1.8151294007644445
361,1.6003712666154293,0.9959406251611502
362,3.0135510298091615,2.772113582230485
363,2.8227147269865176,2.182338688985598
364,3.540284251300027,2.1684706365593636
365,3.777501221019529,2.3394520395824783
366,3.44653275360312,2.208630000179347
367,3.138721415174125,2.834277456770252
368,2.7575892163612234,1.7166074645911544
369,3.4785668613705942,3.432195081063164
370,2.057127757477897,1.5117322722696043
371,2.663314394035879,2.265731683909902
372,3.532137240475187,2.5279790359173946
373,3.4823422693612196,3.292596121421849
374,3.043939251882034,2.5053950105620024
375,3.633850514261376,3.120750012968337
376,3.423633050481956,2.3797285593573183
377,1.6654354585117734,1.1718018034772548
378,2.583663176547678,1.4401256563484928
379,3.7763600546915654,3.1652079528992045
380,2.75539706255573,2.0852093136813226
381,3.2976409308912737,2.088383441028203
382,2.2549340579934642,1.5753983660484934
383,4.101767379221941,3.539141537154087
384,2.6063227262452884,2.0662655494811966
385,2.054844962260203,1.8157984588003029
386,3.16967427306432,2.122849802756963
387,2.4216657029885247,1.7267164027667852
388,2.7430735396266344,2.1065799853446716
389,1.8467078407699082,1.202695479439392
390,2.463703396477444,1.9333596357250382
391,3.3237826033066145,2.9028737378469924
392,3.525023379512442,2.6801239689085814
393,3.5175269218865752,3.95187677114888
394,3.657805905013038,3.407981344252288
395,2.751400930876209,1.9881111763572143
396,2.822974231247157,2.1382454265420363
397,3.0773898503045745,2.5058863191216076
398,3.387145554444496,2.835252535949935
399,2.8454056414723103,1.858851506766783
400,3.3067241231130486,2.2497578568249508
401,1.5563850867674458,0.7371686307477497
402,3.4253187108101266,2.9086531567025626
403,1.8366064770613129,0.9500145814793425
404,3.806718269614369,2.9990643129576515
405,2.876782261923775,2.6872940670997845
406,3.566102480126904,3.43171505097902
407,2.7808496015839084,1.8106787986607114
408,3.283395228067242,2.881205710418838
409,3.4025465277867823,2.3275852378622726
410,2.6690660704000044,1.991883254371041
411,2.8298555081068195,2.0414928290975225
412,3.6277187665977877,2.9974992566656695
413,3.784197584869272,3.176183459754159
414,3.2503292452133477,2.4754652722790382
415,4.069704002126506,4.057171792291413
416,2.8072598956497785,2.6662660390022705
417,3.0629346892148273,2.7914590116455362
418,3.999310906980887,3.0708175919397473
419,2.5868907935867056,1.5378024043024225
420,2.9864937367592237,2.044209070115343
421,3.278580353202001,3.2047656181476256
422,3.0392080439485474,2.363896809293079
423,3.530724733924474,2.4741498299003606
424,2.7138620137495235,1.650791094120327
425,2.8737329270343173,2.1589740221072504
426,3.3584463539384135,2.2671006446987096
427,3.167320423344878,2.5884643356118904
428,3.089270672101663,3.355134218397633
429,2.886359197006258,2.0710512581523006
430,2.6395244549781816,2.091000117445508
431,2.097846439402777,1.3214618690094904
432,3.1398698516112122,2.1966158862433747
433,2.986213695705056,2.325064764464287
434,2.027153251867139,1.0534507249438367
435,2.710392091336577,1.5539583490242665
436,1.6835635017816546,1.1786118486711274
437,2.7219994977018773,1.5773288507967644
438,2.330409305232262,1.6295812068307618
439,3.452079361672544,3.4329924076194356
440,2.898976718173451,2.2951495402742252
441,3.660089928170861,3.08345725930799
442,3.503691773864227,2.7680598618490375
443,3.4610426913147387,3.1230379291194796
444,2.741778940677892,2.104437861765584
445,3.287446896718852,3.0321000953939214
446,1.5923501305488084,1.0893741524858669
447,2.1931050635750617,2.207419045149053
448,3.2893771877557714,3.401581177276685
449,3.6698255110894418,2.723004401064525
450,2.576010265402273,1.636910755423256
451,3.2992672421555813,2.5901623735862005
452,3.1682689405212203,2.3735864576186176
453,2.635116701201983,2.0983087825191036
454,3.4570704450523877,2.7788793072925744
455,2.603921258293658,2.4873466261543693
456,0.9308150820176576,0.3473286908914135
457,3.1557049823398096,2.8085815651072985
458,1.7557401178957686,1.1389082768986443
459,3.504901324188046,3.227048512656999
460,2.3963179587685257,1.3907825264296885
461,2.1874921489468506,1.434965536483035
462,3.1237764394049936,2.7622050453968847
463,2.581475019453494,1.497272699726761
464,1.970479531793229,1.220921296674555
465,1.8820412235697532,1.2001882781917013
466,2.6291608590538504,2.2213159607414434
467,2.0277976818313737,1.5172691965767264
468,3.7791579891107467,2.4477823119433086
469,2.962061669498552,2.451171211820576
470,2.3023407991225198,1.3092198711408756
471,3.6643135828285676,2.9455168300718126
472,3.712311974615958,2.8929522618137735
473,4.256185360911736,4.113204856416589
474,3.4083870297230536,2.831146590445853
475,2.713169439763451,2.4843656558101905
476,3.493191571199043,2.2397659023814898
477,2.9066306452056137,2.426826808976589
478,3.3330178691358876,2.5355575198458653
479,3.429237600028471,2.5563816703698024
480,3.207774315613197,3.0038250171152203
481,3.6048495704681462,2.9065482112348984
482,2.8322470128320454,3.049953726766585
483,3.1757791470363967,2.2706604286709204
484,3.752357406072141,2.984344483406469
485,3.3484090431640614,2.747846038916505
486,3.1226099333121073,1.6266686551976222
487,2.8233713631429933,1.590733750992523
488,3.9466705285005497,2.8066777827425478
489,3.1965524791048403,2.7282058768243473
490,3.227121830162522,2.9036629774768925
491,1.8733675255271245,1.269895333263351
492,3.4596417786371867,2.763920612250355
493,2.783746905743392,1.8255245684693033
494,2.844665747991654,2.4332066394713645
495,2.3911676031075637,1.592816922988787
496,2.318336985254033,1.6045104083438098
497,1.6371128753714095,1.054048583180291
498,2.3989020888930748,1.735267256798102
499,2.4332119598210395,1.7928566917360984
500,3.0171463846866224,1.9776229549674296
